NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1995_05_03_a184_seg21_s5;10;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1995_05_23_a206_seg12_s4;10;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1995_05_26_a216_seg2_s16;4;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1995_05_27_a127_seg3_s7;3;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1995_03_20_a64_seg3_s2;29;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1995_11_11_a137_seg4_s11;6;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1995_11_18_a108_seg12_s2;9;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1995_10_02_a187_seg4_s14;2;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1995_10_03_a136_seg4_s10;36;;;;x;;;;;;;;;;;;;;anim;mit;;;clearly_non_agentive;;
NZZ_1995_10_19_a176_seg3_s8;2;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1995_10_24_a136_seg2_s10;5;;;x;;;;;;;;;;;;;;;anim_proxy;;;;;;
NZZ_1995_09_02_a164_seg3_s13;4;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1995_09_26_a26_seg2_s3;16;;;;;;;;;x;;;;;;;;;;von;;;EXP_anim_proxy;;
NZZ_1996_04_09_a80_seg8_s7;11;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1996_04_18_a186_seg3_s2;7;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_08_13_a20_seg4_s5;7;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_08_28_a20_seg3_s8;10;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1996_12_18_a136_seg4_s4;21;;;;;;;;;;;;;;;x;;;;;;;;;
