NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1995_08_02_a97_seg3_s45;23;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1995_08_05_a89_seg3_s8;24;;;;x;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1995_08_08_a144_seg2_s5;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1995_08_26_a102_seg18_s5;20;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_anim_proxy;;Öffentlichkeit
NZZ_1995_08_30_a96_seg9_s7;15;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_12_01_a3_seg6_s4;26;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1995_12_01_a109_seg3_s2;20;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1995_12_02_a198_seg3_s16;6;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1995_12_02_a209_seg11_s8;5;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1995_12_12_a170_seg2_s15;2;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1995_12_13_a120_seg5_s3;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1995_02_03_a46_seg27_s7;1;x;;;;;;;;;;;;;;;;;;;;;fragment;;
NZZ_1995_07_03_a97_seg3_s2;3;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_07_05_a30_seg14_s3;20;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1995_03_22_a119_seg4_s5;7;;;x;;;;;;;;;;;;;;;anim;;;;STM_coordination, clearly_non_agentive;;
NZZ_1995_11_23_a183_seg11_s6;17;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1995_11_27_a195_seg3_s21;21;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_10_21_a153_seg2_s3;3;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_09_04_a83_seg3_s16;19;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1995_09_08_a31_seg12_s2;5;;;;x;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1995_09_09_a183_seg14_s26;2;;;;x;;;;;;;;;;;;;;ambiguous;;;;ambiguous;;
NZZ_1995_08_31_a132_seg4_s23;3;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1996_04_24_a24_seg12_s4;4;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1996_03_30_a245_seg3_s9;9;;;;x;;;;;;;;;;;;;;inanim;;;;;NZZ;
NZZ_1996_07_31_a80_seg7_s10;2;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1996_02_06_a190_seg2_s3;10;;;x;;;;;;;;;;;;;;;ambiguous;;;;;propositional?;clausal but not propositional
NZZ_1996_01_13_a45_seg3_s5;4;;;;x;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1996_06_03_a143_seg7_s3;7;x;;;;;;;;;;;;;;;;;;;;;;;
NZZ_1996_06_04_a131_seg3_s7;12;;;;x;;;;;;;;;;;;;;propositional;;;;;;es + wenn, wollen
NZZ_1996_06_10_a22_seg5_s5;15;;;x;;;;;;;;;;;;;;;inanim;;;;PA+A;Disambiguierung im Kontext?;generic EXP
NZZ_1996_06_12_a40_seg11_s19;4;;;x;;;;;;;;;;;;;;;propositional;;;;;;generic EXP
NZZ_1996_06_26_a107_seg3_s13;6;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_05_18_a167_seg1_s28;28;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_03_05_a204_seg5_s2;2;;;x;;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1996_03_08_a71_seg1_s19;2;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1996_03_09_a26_seg10_s12;17;;;x;;;;;;;;;;;;;;;inanim;;x;;;;vermögen
NZZ_1996_03_12_a67_seg6_s3;8;;;;x;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1996_10_07_a81_seg11_s13;34;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_10_16_a134_seg4_s8;11;;;;x;;;;;;;;;;;;;;inanim;;x;;;vermögen?;vermögen
NZZ_1996_10_22_a168_seg2_s10;8;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1996_10_26_a45_seg3_s5;28;;;x;;;;;;;;;;;;;;;propositional;;;;EXP_anim_proxy;;
NZZ_1996_09_12_a196_seg12_s10;21;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_09_18_a23_seg12_s6;4;;;;x;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1996_09_24_a142_seg3_s23;28;;;;x;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1997_04_08_a180_seg2_s2;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1997_12_02_a106_seg3_s6;21;;;;x;;;;;;;;;;;;;;inanim;;;;ambiguous;;
NZZ_1997_12_06_a79_seg2_s7;37;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1997_12_19_a77_seg4_s6;23;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1997_12_29_a45_seg11_s11;24;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1997_06_16_a4_seg10_s3;6;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1997_05_07_a130_seg7_s14;2;;;;x;;;;;;;;;;;;;;propositional;;;;;;es + wenn
NZZ_1997_05_10_a116_seg4_s3;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1997_05_14_a19_seg8_s14;28;;;x;;;;;;;;;;;;;;;propositional;;;;;;wollen: control?
NZZ_1997_05_21_a125_seg3_s3;21;;;x;;;;;;;;;;;;;;;inanim;;;;;;
