NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1995_05_08_a141_seg3_s17;18;;;x;;;;;;;;;;;;;;;anim;;x;;EXP_anim_proxy;???;vermögen
NZZ_1995_05_15_a6_seg13_s2;6;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_05_15_a85_seg3_s2;6;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1995_05_22_a99_seg5_s3;4;;;x;;;;;;;;;;;;;;;anim;;;;;;Gemeinde, interesting event structure
NZZ_1995_05_27_a127_seg3_s3;22;;;;;;;;;x;;;;;;;;;;;;;;;
NZZ_1995_06_03_a140_seg2_s4;17;;;;x;;;;;;;;;;;;;;inanim;;x;;;title;vermögen
NZZ_1995_06_10_a197_seg6_s10;26;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_06_10_a203_seg7_s14;52;;;x;;;;;;;;;;;;;;;inanim;;x;;STM_coordination;;vermögen, generic EXP
NZZ_1995_06_24_a198_seg13_s4;27;;;;;x;;;;;;;;;;;;;;von;;;metonymic_EXP;;inanim von-PP
NZZ_1995_07_12_a144_seg6_s8;25;;;x;;;;;;;;;;;;;;;anim;mit;x;;;instrumental;not instrumental
NZZ_1995_07_13_a105_seg3_s10;42;;;x;;;;;;;;;;;;;;;anim;mit;;;pronominal_adverb, EXP_anim_proxy;instrumental;not instrumental
NZZ_1995_07_22_a192_seg4_s4;28;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental;Publikum
NZZ_1995_08_24_a184_seg5_s4;20;;;x;;;;;;;;;;;;;;;inanim;mit;;;;;
NZZ_1995_08_30_a147_seg9_s6;12;;;x;;;;;;;;;;;;;;;anim;mit;;;;;Menge
NZZ_1995_10_10_a200_seg5_s3;11;;;;;;;;;;x;;;;;;;;;;;;;;
NZZ_1995_10_30_a157_seg4_s2;17;;;x;;;;;;;;;;;;;;;anim;;;;;;Masse
NZZ_1995_11_16_a205_seg4_s18;15;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_11_27_a146_seg3_s2;34;;;x;;;;;;;;;;;;;;;inanim;;;;;;Generation
NZZ_1995_11_30_a128_seg3_s2;10;;;x;;;;;;;;;;;;;;;inanim;;;;title;;Publikum
