NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1995_03_13_a126_seg2_s6;19;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1995_11_21_a152_seg3_s3;33;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_11_22_a121_seg50_s9;77;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1995_10_05_a196_seg3_s2;2;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1995_10_09_a126_seg1_s9;13;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1995_09_01_a17_seg8_s10;36;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1995_09_18_a14_seg10_s8;6;;;;;;;;x;;;;;;;;;;;;;;utterance_reading;indirect quotation;
NZZ_1995_09_27_a96_seg2_s8;12;;;x;;;;;;;;;;;;;;;inanim;;;;PA+A, EXP_anim_proxy;;
NZZ_1995_09_28_a218_seg5_s9;39;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_04_13_a174_seg5_s6;23;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1996_04_18_a96_seg4_s2;24;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1996_12_09_a97_seg3_s3;19;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1996_12_12_a194_seg3_s18;38;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1996_12_21_a173_seg3_s21;4;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1996_02_05_a131_seg3_s7;2;;;;;;;;x;;;;;;;;;;;an;;;variation, ungrammatical;;
NZZ_1996_02_06_a184_seg19_s8;2;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1996_02_20_a138_seg2_s1;14;;;;;;;;x;;;;;;;;;;;;;;EXP_coordination;;Publikum
NZZ_1996_02_24_a62_seg3_s2;13;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1996_01_18_a168_seg9_s6;25;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1996_01_25_a202_seg10_s24;18;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1996_06_01_a59_seg3_s6;19;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1996_06_01_a206_seg7_s12;2;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1996_06_05_a197_seg4_s2;41;;;x;;;;;;;;;;;;;;;propositional;;;;;;Mehrheit
NZZ_1996_06_27_a203_seg5_s1;4;;;x;;;;;;;;;;;;;;;ambiguous;;;;headline;;generic EXP
NZZ_1996_05_11_a218_seg3_s13;18;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1996_05_21_a18_seg4_s2;25;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1996_05_23_a194_seg4_s1;24;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1996_03_06_a38_seg5_s9;16;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1996_11_15_a96_seg3_s6;13;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_11_22_a206_seg2_s2;15;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1996_11_29_a133_seg3_s1;42;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1996_11_29_a144_seg3_s20;15;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1996_10_10_a93_seg7_s16;61;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1996_10_22_a171_seg2_s1;2;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1996_09_21_a203_seg4_s99;19;;;;;;;;x;;;;;;;;;;;;;;;;wenn
NZZ_1996_09_27_a72_seg2_s7;2;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1997_04_21_a144_seg3_s4;7;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1997_04_29_a48_seg8_s26;1;x;;;;;;;;;;;;;;;;;;;;;fragment;;
NZZ_1997_08_22_a191_seg2_s5;11;;;;;;;;x;;;;;;;;;;;;;;EXP_anim_proxy;;country
NZZ_1997_12_13_a210_seg3_s15;19;;;x;;;;;;;;;;;;;;;inanim;;;;STM_coordination, EXP_anim_proxy;;country
NZZ_1997_12_24_a26_seg4_s103;2;;;;;;;;x;;;;;;;;;;;auf;;;pronominal_adverb;;
NZZ_1997_12_30_a147_seg5_s20;12;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_02_21_a172_seg3_s4;43;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1997_01_13_a132_seg3_s18;23;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1997_01_25_a206_seg8_s5;4;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1997_01_30_a121_seg2_s10;10;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_07_29_a164_seg2_s8;3;;;x;;;;;;;;;;;;;;;ambiguous;;;;EXP_anim_proxy;;
NZZ_1997_06_16_a114_seg3_s65;6;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1997_06_17_a172_seg3_s5;60;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1997_06_19_a203_seg3_s15;8;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1997_05_12_a132_seg7_s5;4;;;;;;;;x;;;;;;;;;;;über;;;;;Teil
NZZ_1997_05_12_a142_seg4_s30;15;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1997_05_17_a190_seg2_s3;13;;;;;;;;x;;;;;;;;;;;auf;;;EXP_anim_proxy;;
NZZ_1997_05_17_a206_seg10_s3;2;;;;;;;;;;;;;;;x;;;;;;;;;interesting: genitive
NZZ_1997_03_04_a17_seg4_s3;16;;;;;;;;x;;;;;;;;;;;über;;;EXP_anim_proxy;;
NZZ_1997_11_04_a159_seg20_s25;2;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1997_10_22_a43_seg9_s29;6;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1997_10_23_a149_seg3_s23;12;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1997_10_27_a87_seg3_s40;6;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1997_10_30_a181_seg45_s11;1;;;;;;;;x;;;;;;;;;;;über;;;fragment;;
NZZ_1997_09_01_a89_seg7_s7;8;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1997_09_01_a152_seg3_s7;26;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1997_09_05_a40_seg8_s17;13;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1997_09_05_a172_seg11_s12;3;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1997_09_08_a56_seg7_s10;3;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1997_09_15_a87_seg3_s4;5;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1997_09_25_a162_seg4_s10;27;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1997_08_30_a193_seg3_s13;27;;;x;;;;;;;;;;;;;;;propositional;;;;;;Mittelstand
NZZ_1998_04_18_a224_seg4_s10;4;;;x;;;;;;;;;;;;;;;inanim;;;;PA+A, STM_coordination, collocation;;
NZZ_1998_04_22_a47_seg3_s15;5;;;;;;;;x;;;;;;;;;;;;;;;;wenn
NZZ_1998_08_08_a218_seg4_s5;55;;;;;;;;x;;;;;;;;;;;auf;x;;;;generic EXP, adjunct control?
NZZ_1998_08_24_a24_seg6_s1;8;;;;;;;;x;;;;;;;;;;;über;x;;;;adjunct control
NZZ_1998_12_02_a103_seg4_s8;54;;;;;;;;x;;;;;;;;;;;ob;;;;;
NZZ_1998_12_15_a223_seg2_s7;18;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_12_18_a187_seg3_s3;6;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1998_02_03_a249_seg23_s16;19;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_02_04_a145_seg5_s11;24;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1998_02_23_a22_seg7_s12;12;;;;;;;;x;;;;;;;;;;;über;;;EXP_anim_proxy;;country
NZZ_1998_01_05_a103_seg3_s3;37;;;;;;;;x;;;;;;;;;;;;;;;;wenn
NZZ_1998_01_22_a219_seg7_s12;5;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1998_01_24_a25_seg8_s9;2;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1998_01_29_a140_seg6_s3;16;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1998_05_05_a231_seg3_s3;5;;;x;;;;;;;;;;;;;;;inanim;;;;PA+A, STM_coordination, collocation;;
NZZ_1998_05_15_a144_seg3_s3;2;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1998_05_25_a102_seg9_s13;4;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1998_05_29_a156_seg4_s59;12;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1998_03_19_a230_seg3_s10;15;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1998_11_02_a147_seg4_s12;32;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1998_10_03_a216_seg11_s2;2;;;x;;;;;;;;;;;;;;;propositional;;;;;;es + wenn
NZZ_1998_10_06_a217_seg3_s8;12;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1998_10_24_a44_seg6_s21;12;;;;;;;;x;;;;;;;;;;;;;;utterance_reading;quotation;Gruppe
NZZ_1998_09_07_a161_seg3_s12;8;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1998_09_21_a135_seg4_s7;15;;;;;;;;x;;;;;;;;;;;;;;utterance_reading;indirect quotation;
NZZ_1998_09_23_a134_seg5_s7;7;;;;;;;;x;;;;;;;;;;;;;;;;Publikum
NZZ_1998_09_28_a158_seg2_s2;10;;;;;;;;x;;;;;;;;;;;;;;EXP_anim_proxy;;country
NZZ_1998_08_31_a154_seg9_s18;24;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1999_08_02_a138_seg3_s7;11;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1999_08_03_a161_seg24_s1;12;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1999_08_04_a18_seg5_s7;13;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1999_08_12_a33_seg12_s1;28;;;;;;;;x;;;;;;;;;;;über;;;;;utterance?
NZZ_1999_08_13_a184_seg3_s16;13;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1999_08_14_a201_seg4_s21;18;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_08_16_a141_seg4_s3;12;;;x;;;;;;;;;;;;;;;propositional;;;;non-phoric_es, EXP_anim_proxy;;Klubführung
NZZ_1999_08_19_a144_seg7_s9;11;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1999_08_19_a162_seg2_s2;4;;;;;;;;x;;;;;;;;;;;über;;;EXP_anim_proxy;;
NZZ_1999_08_26_a199_seg4_s18;14;;;;;;;;x;;;;;;;;;;;;;x;;;Geister: anim for our purposes
NZZ_1999_08_27_a159_seg3_s5;20;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1999_08_30_a19_seg3_s3;56;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1999_12_10_a220_seg3_s11;12;;;;;;;;x;;;;;;;;;;;auf;;;;;Publikum
NZZ_1999_12_14_a147_seg5_s21;25;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1999_12_28_a200_seg2_s1;5;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1999_02_08_a184_seg4_s14;16;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1999_01_11_a147_seg3_s16;23;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1999_01_23_a226_seg3_s8;2;;;x;;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1999_01_25_a58_seg3_s1;26;;;;;;;;x;;;;;;;;;;;über;;;EXP_anim_proxy;;country
NZZ_1999_01_27_a209_seg4_s5;16;;;;;;;;x;;;;;;;;;;;bei;;;;;
NZZ_1999_07_13_a139_seg8_s4;38;;;;;;;;x;;;;;;;;;;;über;;;;;probably EXP_anim_proxy
NZZ_1999_07_22_a196_seg3_s3;26;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1999_07_29_a14_seg7_s17;2;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1999_06_01_a193_seg3_s2;10;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1999_06_01_a200_seg3_s4;3;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1999_06_15_a26_seg8_s4;7;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb, EXP_anim_proxy;;Linke
NZZ_1999_06_18_a215_seg9_s4;7;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1999_05_27_a165_seg3_s13;10;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1999_05_28_a155_seg3_s13;8;;;;;;;;x;;;;;;;;;;;;;;;;wenn
NZZ_1999_04_30_a246_seg3_s18;8;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1999_03_11_a214_seg1_s1;3;;;;;;;;x;;;;;;;;;;;auf;;;headline;;
NZZ_1999_03_30_a142_seg3_s8;9;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1999_11_02_a118_seg2_s3;16;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1999_11_02_a190_seg2_s9;22;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1999_11_04_a6_seg4_s4;22;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1999_11_05_a258_seg9_s1;3;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1999_11_06_a184_seg3_s14;18;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1999_11_09_a225_seg35_s4;23;;;;;;;;x;;;;;;;;;;;;;;;;wenn
NZZ_1999_11_27_a268_seg14_s38;23;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1999_11_29_a141_seg3_s14;11;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1999_10_02_a224_seg3_s8;10;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1999_10_13_a102_seg3_s2;14;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1999_10_19_a36_seg2_s6;17;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1999_10_28_a138_seg6_s18;10;;;x;;;;;;;;;;;;;;;propositional;;;;;;generic EXP
NZZ_1999_10_28_a204_seg24_s9;1;;;;;;;;x;;;;;;;;;;;über;;;fragment;;
NZZ_1999_09_06_a151_seg4_s15;11;;;;;;;;x;;;;;;;;;;;;;;utterance_reading;quotation;
NZZ_1999_09_09_a222_seg7_s16;2;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1999_09_14_a210_seg2_s1;2;;;x;;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1999_09_27_a104_seg3_s19;27;;;;;;;;x;;;;;;;;;;;über;;;;;
