NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1995_12_19_a113_seg7_s7;2;;;;;;;;x;;;;;;;;;;;mit;;;;;different mit?
NZZ_1995_12_27_a126_seg3_s6;4;;;;x;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1995_02_14_a20_seg2_s6;23;;;;;;x;;;;;;;;;;;;;;;;result_PP, collocation;;zu Tode
NZZ_1995_02_20_a119_seg3_s1;32;;;x;;;;;;;;;;;;;;;inanim;;;;;;Publikum
NZZ_1995_01_28_a209_seg14_s70;21;;;x;;;;;;;;;;;;;;;inanim;;;;STM_psych_noun;;
NZZ_1995_07_08_a187_seg6_s44;13;;;;x;;;;;;;;;;;;;;anim;mit;;;;;
NZZ_1995_07_15_a102_seg7_s5;2;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_coordination;;Personal
NZZ_1995_07_19_a121_seg3_s12;7;;;;x;;;;;;;;;;;;;;anim;;;;;;
NZZ_1995_06_28_a10_seg5_s10;30;;;;;;;;;;;;x;;;;;;;;;;EXP-related_object;;interesting
NZZ_1995_05_02_a24_seg4_s13;2;;;;;;;;x;;;;;;;;;;;mit;;;EXP_anim_proxy;non-psych;interesting event structure
NZZ_1995_05_06_a205_seg3_s27;30;;;x;;;;;;;;;;;;;;;anim;mit;x;;;;
NZZ_1995_03_03_a129_seg4_s15;3;;;x;;;;;;;;;;;;;;;anim;mit;;;;;instrumental reading possible
NZZ_1995_03_16_a131_seg12_s2;8;;;x;;;;;;;;;;;;;;;inanim;mit, durch;;;ambiguous, EXP_anim_proxy;STIM?;Welt, stimulus PPs in coordination
NZZ_1995_03_18_a131_seg2_s12;11;;;x;;;;;;;;;;;;;;;anim;;;;reciprocal;;
NZZ_1995_03_18_a204_seg4_s14;28;;;;;;x;;;;;;;;;;;;;;;;metaphoric_EXP;;
NZZ_1995_03_22_a170_seg2_s1;13;;;;;;;;x;;;;;;;;;;;;x;;ambiguous;non-psych?, transitive refl possible;control in nominal context
NZZ_1995_03_24_a145_seg9_s7;28;;;;;;x;;;;;;;;;;;;;;;;;;
NZZ_1995_03_28_a125_seg5_s3;13;;;;;;x;;;;;;;;;;;;;von;;;;;inanim von-PP
NZZ_1995_11_16_a168_seg3_s7;22;;x;;;;;;x;;;;;;;;;;;durch;;;;non-psych;
NZZ_1995_11_25_a200_seg8_s11;16;;;x;;;;;;;;;;;;;;;inanim;;;;STM_psych_noun;;
NZZ_1995_10_21_a180_seg7_s15;11;;;x;;;;;;;;;;;;;;;anim;;;;result_PP;;
NZZ_1995_09_02_a188_seg6_s4;17;;x;;;;;;x;;;;;;;;;;;durch;;;;non-psych;
NZZ_1995_09_04_a114_seg13_s19;18;;x;;;;;;x;;;;;;;;;;;durch;;;ambiguous;non-psych, transitive refl possible;
NZZ_1995_09_06_a186_seg5_s8;20;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_09_07_a135_seg4_s17;15;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1995_09_09_a26_seg12_s13;2;;x;;;;;;x;;;;;;;;;;;durch;;;;non-psych;
NZZ_1995_09_15_a190_seg3_s9;21;;x;;;;;;x;;;;;;;;;;;über;;;result_PP;non-psych;
NZZ_1995_09_25_a46_seg12_s8;20;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1996_08_09_a147_seg3_s9;3;;;x;;;;;;;;;;;;;;;anim;;;;metaphoric_EXP;;
NZZ_1996_12_18_a154_seg3_s4;5;;;x;;;;;;;;;;;;;;;anim;;;;metaphoric_EXP;;instrumental
NZZ_1996_12_21_a174_seg4_s17;11;;x;;;;;;x;;;;;;;;;;;über;;;;non-psych;
NZZ_1996_02_22_a130_seg3_s7;9;;;;;;;;;;;;x;;;;;;;;;;metaphoric_EXP;;
NZZ_1996_02_22_a141_seg3_s3;3;;;;x;;;;;;;;;;;;;;anim;;;;;;
NZZ_1996_01_13_a31_seg9_s5;36;;x;;;;;;x;;;;;;;;;;;durch;;;;non-psych;
NZZ_1996_01_20_a194_seg3_s30;23;;;;;;;;x;;;;;;;;;;;mit;;;;;different mit?
NZZ_1996_07_06_a206_seg7_s3;28;;;x;;;;;;;;;;;;;;;inanim;;;;STM_psych_noun;;
NZZ_1996_07_29_a106_seg1_s16;8;;;;;;;;x;;;;;;;;;;;;;;fragment, ambiguous;transitive refl possible;agentive
NZZ_1996_06_11_a181_seg3_s19;29;;;;;;;;x;;;;;;;;;;;;;;ambiguous;transitive refl possible;
NZZ_1996_06_11_a181_seg3_s19;31;;;;;;;x;;;;;;;;;;;;;;;;;
NZZ_1996_06_21_a229_seg8_s7;33;;;;;;x;;;;;;;;;;;;;von;;;;;
NZZ_1996_06_25_a171_seg9_s9;47;;x;;;;;;x;;;;;;;;;;;;;;result_PP;non-psych;
NZZ_1996_05_08_a151_seg21_s2;14;;;;;;x;;;;;;;;;;;;;;;;;;
NZZ_1996_05_25_a230_seg3_s22;26;;x;;;;;;x;;;;;;;;;;;über;;;;non-psych;
NZZ_1996_03_01_a144_seg9_s3;36;;;x;;;;;;;;;;;;;;;inanim;als;;;;STM ambiguous?;interesting event structure
NZZ_1996_03_11_a18_seg3_s9;33;;;;;;x;;;;;;;;;;;;;von;;;;;inanim von-PP
NZZ_1996_11_02_a201_seg4_s13;10;;;;;;x;;;;;;;;;;;;;;;;;;
NZZ_1996_11_04_a15_seg2_s2;22;;;;;;x;;;;;;;;;;;;;mit, durch;;;;PP coordination;inanim durch-PP
NZZ_1996_11_14_a133_seg3_s4;10;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_11_15_a108_seg3_s9;36;;;x;;;;;;;;;;;;;;;inanim;;;;EXP-related_object;;
NZZ_1996_11_23_a209_seg13_s7;10;;;;;x;;;;;;;;;;;;;;;;;;;
NZZ_1996_10_24_a147_seg3_s9;17;;;x;;;;;;;;;;;;;;;anim;von;x;;;;"According to Colomo (2011, p. 201 f.), directive ""lassen"" is a control verb and allows either object (""A:N"") or implicit (""-:N"") control. I suspect that what we see here is an instance of implicit control where the controler is additionaly indicated in a PP (according to SB, this happens sometimes)."
NZZ_1996_10_30_a113_seg3_s1;14;;x;;;;;;x;;;;;;;;;;;durch;;;ambiguous;non-psych;
NZZ_1996_09_10_a118_seg3_s12;58;;x;;;;;;x;;;;;;;;;;;durch;;;ambiguous;non-psych, transitive refl possible;generic EXP
NZZ_1996_09_11_a118_seg3_s37;3;;;;;;;;;;x;;;;;;;;;von;;;;;inanim von-PP
NZZ_1996_09_14_a103_seg15_s2;2;;;x;;;;;;;;;;;;;;;inanim;;;;PA+A;NZZ;
NZZ_1997_04_03_a134_seg5_s38;59;;;;;;x;;;;;;;;;;;;;;;;;;
NZZ_1997_04_21_a168_seg3_s3;7;;;;;;;;x;;;;;;;;;;;;;;result_PP, ambiguous;non-psych;
NZZ_1997_04_25_a23_seg10_s15;9;;;;;;;;;;;;x;;;;;;;;;;EXP-related_object;;
NZZ_1997_04_26_a190_seg8_s3;11;;;;;;x;;;;;;;;;;;;;von;;;;;
NZZ_1997_04_26_a191_seg6_s6;98;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_08_07_a103_seg2_s17;7;;;x;;;;;;;;;;;;;;;inanim;;;;EXP-related_object;;
NZZ_1997_08_27_a161_seg3_s9;37;;x;;;;;;x;;;;;;;;;;;über;;;;non-psych;
NZZ_1997_01_06_a95_seg5_s3;22;;x;;;;;;x;;;;;;;;;;;durch;;;;non-psych;
NZZ_1997_01_16_a140_seg7_s1;7;;x;;;;;;x;;;;;;;;;;;durch;;;ambiguous;non-psych;
NZZ_1997_07_18_a119_seg11_s1;28;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1997_07_19_a119_seg6_s4;21;;;;;;x;;;;;;;;;;;;;von;;;EXP_anim_proxy;;inanim von-PP
NZZ_1997_07_21_a130_seg3_s24;25;;x;;;;;;x;;;;;;;;;;;über;;;;non-psych, different reading than other cases of „quälen über“??;
NZZ_1997_06_10_a137_seg4_s18;44;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_06_17_a140_seg11_s2;2;x;;;;;;;;;;;;;;;;;;;;;;;
NZZ_1997_06_18_a111_seg3_s4;23;;;x;;;;;;;;;;;;;;;anim;;;;EXP_anim_proxy;;
NZZ_1997_05_02_a176_seg2_s1;3;;x;;;;;;x;;;;;;;;;;;;;;result_PP;non-psych;
NZZ_1997_05_29_a189_seg3_s4;35;;x;;;;;;x;;;;;;;;;;;durch;;;;non-psych;
NZZ_1997_03_19_a5_seg6_s2;20;;;x;;;;;;;;;;;;;;;anim;mit;;;PA+A;;Bevölkerung
NZZ_1997_11_07_a178_seg3_s3;4;;x;;;;;;x;;;;;;;;;;;;;;;non-psych;
NZZ_1997_11_24_a181_seg4_s27;2;;x;;;;;;x;;;;;;;;;;;über;;;;non-psych;
NZZ_1997_10_03_a133_seg4_s1;4;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1997_10_03_a133_seg5_s5;16;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1997_10_10_a135_seg19_s2;11;;x;;;;;;x;;;;;;;;;;;durch;;;;non-psych;
NZZ_1997_10_23_a119_seg6_s23;13;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1997_10_23_a119_seg6_s32;25;;;x;;;;;;;;;;;;;;;anim;mit;;;;;instrumental?
NZZ_1997_09_06_a145_seg17_s2;30;;;;;;x;;;;;;;;;;;;;von;;;;;
NZZ_1997_09_08_a94_seg9_s13;11;;;;;;x;;;;;;;;;;;;;;;;fragment, result_PP, collocation;;zu Tode, interesting event structure
NZZ_1997_09_26_a148_seg5_s8;64;;;;;;x;;;;;;;;;;;;;von;;;;;
NZZ_1998_04_04_a132_seg6_s5;2;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1998_04_28_a172_seg2_s10;2;;;x;;;;;;;;;;;;;;;anim;;;;;;instrumental mit-PP
