NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_02_26_a270_seg2_s13;7;;;;x;;;;;;;;;;;;;;propositional;;x;;non-phoric_es;;propositional control, vermögen
NZZ_1993_03_01_a48_seg2_s11;6;;;;x;;;;;;;;;;;;;;ambiguous;durch;;;;Opernrolle, konzeptuelle Lesart möglich?;inanim durch-PP
NZZ_1993_03_03_a48_seg18_s13;12;;;;;;;x;;;;;;;;;;;;von;;;;;inanim von-PP
NZZ_1993_03_03_a80_seg3_s3;1;;;;;;;;;;x;;;;;;;;;von;;;;;inanim von-PP
NZZ_1993_03_05_a159_seg3_s34;7;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1993_03_05_a160_seg2_s21;5;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_03_05_a31_seg8_s3;21;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_03_05_a91_seg2_s29;6;;;;;x;;;;;;;;;;;;;;von;;;pronominal_adverb, metonymic_EXP;;
NZZ_1993_03_06_a15_seg7_s1;31;;;;;;;;;;;;;;;;x;;;;;;EXP_coordination;??;instrumental
NZZ_1993_04_03_a11_seg4_s3;55;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_04_03_a11_seg8_s8;57;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_04_03_a74_seg17_s20;26;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_04_03_a97_seg9_s2;37;;;x;;;;;;;;;;;;;;;anim;;x;;EXP_anim_proxy;;adjunct control
NZZ_1993_04_07_a11_seg10_s6;14;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
